AccountId,Region,VpcId,Name,CidrBlock,IsDefault,State,DhcpOptionsId,InstanceTenancy,AdditionalCidrBlocks,Tags,RejectionReason,Suggestion,ErrorDetails
54084606462,us-west-2,vpc-2be8ed53,Unnamed,172.31.0.0/16,True,available,dopt-6ac3f112,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
54084606462,eu-west-2,vpc-01350169,Unnamed,172.31.0.0/16,True,available,dopt-1547487d,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
54084606462,ap-northeast-1,vpc-574db731,Unnamed,172.31.0.0/16,True,available,dopt-6a5fbf0c,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
54084606462,ap-southeast-1,vpc-d272b9b4,Unnamed,172.31.0.0/16,True,available,dopt-5ca4693a,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
109271064203,us-east-1,vpc-039734d70d1af71b0,s3-sftp-public-nacl,10.0.0.0/16,False,available,dopt-277bf240,default,[],"[{'Key': 'Name', 'Value': 's3-sftp-public-nacl'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
109271064203,eu-west-2,vpc-bd09f7d4,Unnamed,172.31.0.0/16,True,available,dopt-11ef1678,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
109271064203,ap-northeast-1,vpc-4b5cf42f,Unnamed,172.31.0.0/16,True,available,dopt-d57c94b1,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
109271064203,ap-southeast-1,vpc-d3ae10b7,Unnamed,172.31.0.0/16,True,available,dopt-112fe475,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
90635704012,us-west-2,vpc-0a05c2208064b4b97,project-vpc,10.0.0.0/16,False,available,dopt-085af2666b3aaea92,default,[],"[{'Key': 'Name', 'Value': 'project-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
125720579239,us-east-1,vpc-0f21645a3e1d1bc06,mi-lz-dc-sales-dev-us-east-1-vpc,10.212.74.0/24,False,available,dopt-0255a645464ca26f9,default,[],"[{'Key': 'Requested_By', 'Value': 'hsing113'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'Description', 'Value': 'Deployment of Instances by Sales Developers '}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'Name', 'Value': 'mi-lz-dc-sales-dev-us-east-1-vpc'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'project', 'Value': 'lz sales-dev account for MGP team'}, {'Key': 'environment', 'Value': 'dev'}, {'Key': 'owner', 'Value': 'Jeremy Reed'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-02-13T23:11:22Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'tfe_created', 'Value': 'true'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-02-13T23:11:20Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-02-13T23:08:26Z: VPC has been attached to the Transit Gateway'}, {'Key': 'dud', 'Value': '52529967196'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
258664334277,us-east-1,vpc-0ae16c521a462ca1c,mi-lz-network-dev-us-east-1-vpc,10.212.19.128/25,False,available,dopt-03cadaf34128d23a0,default,"['10.212.8.128/25', '10.212.87.64/26']","[{'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'Name', 'Value': 'mi-lz-network-dev-us-east-1-vpc'}, {'Key': 'environment', 'Value': 'dev'}, {'Key': 'tfe_created', 'Value': 'true'}, {'Key': 'dud', 'Value': '52529967360'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2022-09-19T16:55:05Z: VPC has been attached to the Transit Gateway'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2022-09-19T16:57:44Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'createdby', 'Value': 'tshet584'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2022-09-19T16:57:43Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'owner', 'Value': 'H Network Engineering Matt Barzack'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'project', 'Value': 'Network dev account in Landing zone'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
301220284239,us-west-2,vpc-0ab85cec6201aaf1a,Unnamed,172.31.0.0/16,True,available,dopt-06b5422b3973bb506,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
