AccountId,Region,VpcId,Name,CidrBlock,IsDefault,State,DhcpOptionsId,InstanceTenancy,AdditionalCidrBlocks,Tags,RejectionReason,Suggestion,ErrorDetails
109271064203,us-east-1,vpc-039734d70d1af71b0,s3-sftp-public-nacl,10.0.0.0/16,False,available,dopt-277bf240,default,[],"[{'Key': 'Name', 'Value': 's3-sftp-public-nacl'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
90635704012,us-west-2,vpc-0a05c2208064b4b97,project-vpc,10.0.0.0/16,False,available,dopt-085af2666b3aaea92,default,[],"[{'Key': 'Name', 'Value': 'project-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
125720579239,us-east-1,vpc-0f21645a3e1d1bc06,mi-lz-dc-sales-dev-us-east-1-vpc,10.212.74.0/24,False,available,dopt-0255a645464ca26f9,default,[],"[{'Key': 'Requested_By', 'Value': 'hsing113'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'Description', 'Value': 'Deployment of Instances by Sales Developers '}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'Name', 'Value': 'mi-lz-dc-sales-dev-us-east-1-vpc'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'project', 'Value': 'lz sales-dev account for MGP team'}, {'Key': 'environment', 'Value': 'dev'}, {'Key': 'owner', 'Value': 'Jeremy Reed'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-02-13T23:11:22Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'tfe_created', 'Value': 'true'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-02-13T23:11:20Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-02-13T23:08:26Z: VPC has been attached to the Transit Gateway'}, {'Key': 'dud', 'Value': '52529967196'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
301220284239,us-west-2,vpc-0658f5b90ff429354,Unnamed,10.0.0.0/22,False,available,dopt-06b5422b3973bb506,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
332645427436,us-west-2,vpc-0bacb1c05fc2b91b9,Unnamed,10.0.0.0/22,False,available,dopt-06c27d957c72eef4d,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
336942569330,us-west-2,vpc-0917c67c9e9d8e8d3,mi-lz-na-loyalty-prod-us-west-2-vpc,10.216.136.0/23,False,available,dopt-0b2a9eba0b54c930e,default,[],"[{'Key': 'RequestedBy', 'Value': 'RYUVA346'}, {'Key': 'Associate-with', 'Value': 'tgw-prod-accounts-rt'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-07-13T15:25:44Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'createdby', 'Value': 'amanj426'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-07-13T15:24:53Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'Propagate-to', 'Value': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-oregon-virginia-peer-rt'}, {'Key': 'dud', 'Value': '51519541887'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-07-13T15:22:51Z: VPC has been attached to the Transit Gateway'}, {'Key': 'Name', 'Value': 'mi-lz-na-loyalty-prod-us-west-2-vpc'}, {'Key': 'Description', 'Value': ' VPC, routing and Subnet configured for this account in us-west-2'}, {'Key': 'owner', 'Value': 'F:Loyalty Dawn Robertson'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'location', 'Value': 'aws-us-west-2'}, {'Key': 'project', 'Value': 'DR POD request to build UGI environment in 336942569330 US-West-2 region'}, {'Key': 'environment', 'Value': 'prod'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
346680195314,us-west-2,vpc-0bf56d96f3d66600a,project-vpc,10.0.0.0/16,False,available,dopt-05f351672312418d3,default,[],"[{'Key': 'Name', 'Value': 'project-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
482478851458,us-east-1,vpc-0b73de28b457b6d03,CL-PrimaryStack/ESVPC,10.0.0.0/16,False,available,dopt-04a1018be908b91ac,default,[],"[{'Key': 'createdby', 'Value': 'supad062'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:482478851458:stack/opensearch-poc/6768ee50-3b70-11ee-9806-0e241c42da07'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'ESVPC3CEAD2A7'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'opensearch-poc'}, {'Key': 'project', 'Value': 'opensearch-poc'}, {'Key': 'accenture_ru', 'Value': 'y'}, {'Key': 'Name', 'Value': 'CL-PrimaryStack/ESVPC'}, {'Key': 'dud', 'Value': '51519542158 '}, {'Key': 'environment', 'Value': 'dev'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'owner', 'Value': 'Ruby Siddiqui'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-1,vpc-064100be0926e88df,RlSecTestVPC,10.0.0.0/16,False,available,dopt-ab4d40d0,default,[],"[{'Key': 'Name', 'Value': 'RlSecTestVPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-1,vpc-0235f93c49cea09f2,MyVPC,10.0.0.0/16,False,available,dopt-ab4d40d0,default,[],"[{'Key': 'Name', 'Value': 'MyVPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
