CIDR,VPC_Name,VPC_ID,Account_ID,Region,Error_Category,Error_Message,AWS_Tags
15.212.224.0/23,mi-lz-icd-core-team-hold-prod-pci-us-east-1-vpc,vpc-03380da9924618762,7710834192,us-east-1,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'STNOStatus-VPCAssociation': '2023-07-21T18:25:43Z: Tarig VPC has been associated with the Transit Gateway Routing Table/Domain', 'Name': 'mi-lz-icd-core-team-hold-prod-pci-us-east-1-vpc', 'Associate-with': 'tgw-pci-prod-accounts-rt', 'dud': '51519542158', 'STNOStatus-VPCAttachment': '2023-07-21T18:24:14Z: VPC has been attached to the Transit Gateway', 'createdby': 'amanj426', 'tfc_created': 'true', 'owner': 'S:Public Cloud Adnan Haq', 'project': 'Backup Account in AWS for Cloud backup implementation', 'RequestedBy': 'mosca176', 'Propagate-to': 'tgw-pci-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt', 'STNOStatus-VPCPropagation': '2023-07-21T18:25:57Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'environmentTarig': 'prodpci', 'cloudservice': 'no_tier0_vpc', 'Description': 'Prod pci Backup Account creation in AWS for Cloud backup implementation', 'location': 'aws-us-east-1'}"
12.216.140.0/23,mi-lz-icd-core-team-hold-prod-pci-us-west-2-vpc,vpc-03c2708b7cb46148f,7710834192,us-west-2,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'Tarig': '51519542158', 'project': 'Tarig Backup Account creation in AWS for Cloud backup implementation', 'STNOStatus-VPCAttachment': '2023-07-24T16:14:06Z: VPC has been attached to the Transit Gateway', 'tfc_created': 'true', 'RequestedBy': 'mosca176', 'STNOStatus-VPCPropagation': '2023-07-24T16:17:37Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'STNOStatus-VPCAssociation': '2023-07-24T16:17:35Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'createdby': 'amanj426', 'Propagate-to': 'tgw-pci-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt', 'Name': 'mi-lz-icd-core-team-hold-prod-pci-us-west-2-vpc', 'cloudservice': 'no_tier0_vpc', 'location': 'aws-us-west-2', 'Description': 'Backup Account creation in AWS for Cloud backup implementation', 'owner': 'S:Public Cloud Adnan Haq', 'environment': 'prodpci', 'Associate-with': 'tgw-pci-prod-accounts-rt'}"
10.212.226.0/23,mi-lz-devops-ss-us-east-1-vpc,vpc-09f08ecfabd8a5a9d,47270958358,us-east-1,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'Requested_by': 'sginj220', 'environment': 'shared services', 'tfe_created': 'true', 'STNOStatus-VPCAttachment': '2023-02-28T18:44:40Z: VPC has been attached to the Transit Gateway', 'Name': 'mi-lz-devops-ss-us-east-1-vpc', 'STNOStatus-VPCPropagation': '2023-02-28T18:48:12Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'location': 'aws-us-east-1', 'cloudservice': 'no_tier0_vpc', 'createdby': 'anjok224', 'project': 'lz ss account for devops team', 'Associate-with': 'tgw-shared-account-rt', 'Description': 'shared account used for DevSecOps servers', 'dud': '51519542033', 'owner': 'H:Infra Engineering param_value Auto Adnan Haq', 'STNOStatus-VPCAssociation': '2023-02-28T18:48:10Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'Propagate-to': 'tgw-shared-account-rt,tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-nonprod-accounts-rt,tgw-virginia-oregon-peer-rt'}"
10.216.248.0/23,mi-lz-devops-ss-prod-us-west-2-vpc,vpc-0bd4000739077b166,47270958358,us-west-2,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'Fayrouz': 'mi-lz-devops-ss-prod-us-west-2-vpc', 'STNOStatus-VPCAttachment': '2024-08-22T21:07:02Z: VPC has been attached to the Transit Gateway', 'Propagate-to': 'tgw-shared-account-rt,tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-nonprod-accounts-rt,tgw-oregon-virginia-peer-rt', 'STNOStatus-VPCAssociation': '2024-08-22T21:12:19Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'dud': '51519542033', 'STNOStatus-VPCPropagation': '2024-08-22T21:12:21Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'segment': 'admin', 'Associate-with': 'tgw-shared-account-rt'}"
10.86.150.0/23,mi-lz-devops-ss-prod-eu-west-2-vpc,vpc-01ba98e7bf3558222,47270958358,eu-west-2,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'segment': 'admin', 'Name': 'Tarig', 'dud': '51519542033'}"
10.212.230.0/23,mi-lz-mpg-prod-us-east-1-vpc,vpc-0007019fc7ef7c946,45155701822,us-east-1,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'cloudservice': 'no_tier0_vpc', 'Description': 'Migration of MPG platform hosted in Rackspace private cloud', 'Requested_By': 'jalop838', 'location': 'aws-us-east-1', 'project': 'lz foundational-tip prod account for mpg team', 'Name': 'mi-lz-mpg-prod-us-east-1-vpc', 'environment': 'prod', 'Propagate-to': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt', 'STNOStatus-VPCAttachment': '2023-05-24T21:00:41Z: VPC has been attached to the Transit Gateway', 'owner': 'Jesus Lopez', 'Associate-with': 'tgw-prod-accounts-rt', 'STNOStatus-VPCAssociation': '2023-05-24T21:05:08Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'dud': '51519542154', 'tfc_created': 'true', 'createdby': 'anjok224', 'STNOStatus-VPCPropagation': '2023-05-24T21:06:06Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}"
10.215.248.0/23,mi-lz-tech-svcs-prod-us-east-1-vpc,vpc-078e8685d06b311fa,14498642181,us-east-1,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'location': 'aws-us-east-1', 'cloudservice': 'Tarigno_tier0_vpc', 'Description': 'prod us-east-1 VPC for Tech Services', 'Name': 'mi-lz-tech-svcs-prod-us-east-1-vpc', 'tfc_created': 'true', 'environment': 'prod', 'owner': 'Dan Cronin', 'RequestedBy': 'numen682', 'STNOStatus-VPCAssociation': '2024-07-31T19:11:38Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'STNOStatus-VPCPropagation': '2024-07-31T19:14:01Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'Associate-with': 'tgw-prod-accounts-rt', 'Propagate-to': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt', 'STNOStatus-VPCAttachment': '2024-07-31T19:09:23Z: VPC has been attached to the Transit Gateway', 'createdby': 'jmeht561', 'project': 'Tech Services', 'dud': '52529967325'}"
10.212.252.0/23,mi-lz-ocp-prod-us-east-1-vpc,vpc-083c99f0a54576328,47659599919,us-east-1,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'STNOStatus-VPCAttachment': '2022-10-11T05:24:51Z: VPC has been attached to the Transit Gateway', 'tfe_created': 'true', 'location': 'aws-us-east-1', 'environment': 'prod', 'STNOStatus-VPCAssociation': '2022-10-11T05:27:27Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'cloudservice': 'no_tier0_vpc', 'owner': 'ICD Public Cloud kdelt508', 'Associate-with': 'tgw-prod-accounts-rt', 'project': 'ocp prod account for landing zone', 'Name': 'mi-lz-ocp-prod-us-east-1-vpc', 'Propagate-to': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt', 'createdby': 'tshet584', 'dud': '51519542158', 'STNOStatus-VPCPropagation': '2022-10-11T05:27:41Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}"
10.213.160.0/23,mi-lz-ocp-prod-us-west-2-vpc,vpc-0b07d46b6bb8d9560,47659599919,us-west-2,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'Name': 'mi-lz-ocp-prod-us-west-2-vpc', 'Associate-with': 'tgw-prod-accounts-rt', 'dud': '51519542158', 'owner': 'ICD Public Cloud kdelt508', 'Propagate-to': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-oregon-virginia-peer-rt', 'createdby': 'anjok224', 'cloudservice': 'no_tier0_vpc', 'location': 'aws-us-west-2', 'STNOStatus-VPCAttachment': '2023-01-30T17:00:14Z: VPC has been attached to the Transit Gateway', 'project': 'ocp prod account for landing zone', 'STNOStatus-VPCPropagation': '2023-01-30T17:03:57Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'STNOStatus-VPCAssociation': '2023-01-30T17:03:55Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'tfe_created': 'true', 'environment': 'prod'}"
15.86.136.0/23,mi-lz-ocp-prod-eu-west-2-vpc,vpc-0f7c905114497cee6,47659599919,eu-west-2,unknown,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network,"{'tfe_created': 'true', 'dud': '51519542158', 'STNOStatus-VPCAssociation': '2022-12-16T19:50:07Z: VPC has been associated with the Transit Gateway Routing Table/Domain', 'location': 'aws-eu-west-2', 'STNOStatus-VPCAttachment': '2022-12-16T19:46:34Z: VPC has been attached to the Transit Gateway', 'createdby': 'anjok224', 'STNOStatus-VPCPropagation': '2022-12-16T19:50:10Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain', 'owner': 'ICD Public Cloud kdelt508', 'Associate-with': 'tgw-prod-accounts-rt', 'Propagate-to': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-london-virginia-peer-rt,tgw-london-oregon-peer-rt', 'project': 'ocp prod account for landing zone', 'Name': 'mi-lz-ocp-prod-eu-west-2-vpc', 'cloudservice': 'no_tier0_vpc', 'environment': 'prod'}"
