site_id,m_host,prefixes,post response
16540968605520072,IADXMP01,['10.101.224.0/22'],
16534423216510206,WASCTP01,['10.99.116.0/22'],
16534424701980039,WASNHP01,['10.107.20.0/22'],
1654697781058018296,WASGWP01,['10.98.56.0/22'],
1655386596360012096,WASPCP01,['10.104.8.0/22'],
1655386775177021896,WASTCP01,['10.98.64.0/22'],
1655479735345004796,WASVAP01,['10.108.144.0/22'],
1655746324503019096,IADFXP01,['10.105.152.0/22'],
1655748105575025296,IADRFP01,['10.105.84.0/22'],
1656333041100005596,BOSPYP01,['10.104.244.0/22'],
1656333621379007696,ERIKEP01,['10.107.28.0/22'],
1656419710331007196,ERISHP01,['10.106.196.0/22'],
1656445899764004596,FKRRIP01,['10.107.112.0/22'],
1656592238773005196,EWBRIP01,['10.104.24.0/22'],
1657019420746004096,ISPHVP01,['10.96.80.0/22'],
1657019499602006396,IADFRP01,['10.108.16.0/22'],
1657024038757013396,MHTNRP01,['10.109.212.0/22'],
1657103518320017596,LYHSHP01,['10.107.164.0/22'],
1657104342079006396,MWDFIP01,['10.102.184.0/22'],
1657197463713016996,NYCHAP01,['10.108.236.0/22'],
1657198194061003296,ORFODP01,['10.106.240.0/22'],
1657197817538003696,NYCSMP01,['10.108.240.0/22'],
1657546944337025496,PHLEXP01,['10.102.12.0/22'],
1657555784947019096,PHLKPP01,['10.103.156.0/22'],
1657626981643021996,PITSSP01,['10.101.36.0/22'],
1657627290460023596,PITWMP01,['10.96.232.0/22'],
1657717574703006796,PYMTSP01,['10.110.12.0/22'],
1657725076262001596,SCESHP01,['10.105.116.0/22'],
1657802342271020496,TTNWWP01,['10.96.120.0/22'],
1657809454025004096,RICWWP01,['10.99.100.0/22'],
1657821719690008596,RICRHP01,['10.108.8.0/22'],
1657822961780009396,PVDPCP01,['10.107.36.0/22'],
1658144878224003896,WASSWP01,['10.108.96.0/22'],
1658148813722001296,WASLRP01,['10.102.104.0/22'],
